Date,Price,Open,High,Low,Change %
24-May-18,51514000,53494000,54098000,51500000,0.20%
23-May-18,51771000,51514000,52876000,51300000,-0.70%
22-May-18,52577000,51771000,52801000,51733000,-0.10%
21-May-18,50191000,52552000,52752000,50000000,0.11%
18-May-18,51086000,50176000,51200000,49755000,-0.14%
17-May-18,51798000,51087000,52442000,50653000,-0.10%
16-May-18,53070000,51798000,53700000,51560000,-0.26%
15-May-18,52849000,53089000,53203000,52100000,-0.75%
14-May-18,54109000,52849000,54300000,52834000,-0.14%
11-May-18,55380000,54109000,55737000,53801000,0.24%
10-May-18,54924000,55380000,55652000,54683000,0.55%
09-May-18,56426000,54932000,56992000,54723000,-0.12%
08-May-18,55738000,56438000,57405000,55065000,-0.49%
07-May-18,55550000,55738000,55941000,55300000,-0.32%
04-May-18,55750000,55554000,56248000,55430000,-0.23%
03-May-18,55446000,55730000,56991000,55250000,0.31%
02-May-18,55153000,55445000,55700000,54657000,-0.35%
01-May-18,56000000,55142000,56007000,54893000,-0.71%
30-Apr-18,56000000,56007000,56358000,55662000,-0.42%
27-Apr-18,56578000,56014000,56696000,55948000,0.22%
26-Apr-18,58398000,56600000,58633000,56543000,-0.48%
25-Apr-18,57789000,58398000,59640000,57451000,-0.58%
24-Apr-18,57842000,57734000,58589000,57516000,0.19%
23-Apr-18,57933000,57842000,58554000,57774000,-0.64%
20-Apr-18,57202000,57933000,59159000,57140000,-0.47%
19-Apr-18,57087000,57202000,57777000,56560000,-0.22%
18-Apr-18,56642000,57139000,58323000,56350000,0.02%
17-Apr-18,56792000,56641000,58060000,56371000,-0.08%
16-Apr-18,55803000,56771000,57680000,55707000,0.40%
13-Apr-18,56426000,55808000,56890000,55600000,0.03%
12-Apr-18,55300000,56410000,56437000,54500000,-0.32%
11-Apr-18,55410000,55300000,55486000,54612000,0.09%
10-Apr-18,55500000,55410000,55500000,54663000,0.28%
09-Apr-18,55818000,55500000,56760000,55080000,0.31%
06-Apr-18,57179000,55827000,57180000,55095000,0.35%
05-Apr-18,56654000,57166000,57225000,56456000,-0.31%
04-Apr-18,56370000,56636000,57000000,56160000,0.07%
03-Apr-18,56288000,56321000,56580000,55815000,-0.26%
02-Apr-18,55899000,56286000,56555000,55513000,-0.17%
30-Mar-18,55106000,55898000,55900000,54754000,0.17%
29-Mar-18,55810000,55106000,56000000,54997000,-0.05%
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
